Sample,X,Y,Z
392,0.1160,-0.2593,-1.1206
393,0.0198,0.2957,-0.9722
394,-0.0129,0.0522,-0.9700
395,0.1665,-0.2622,-1.0083
396,0.1709,-0.2239,-1.1399
397,0.0015,0.1084,-1.0696
398,-0.0154,-0.0750,-0.9836
399,0.1248,-0.3293,-1.1213
400,0.1541,-0.1597,-0.9546
401,0.0332,-0.1548,-1.0630
402,-0.0388,0.1084,-0.9934
403,0.0442,-0.0667,-0.9683
404,0.1716,-0.2258,-1.1233
405,0.0254,0.2305,-1.0022
406,0.1074,0.0618,-1.1331
407,0.1526,-0.5627,-1.1584
408,0.0532,-0.5696,-0.9114
409,0.1726,0.7075,-1.1292
410,-0.0056,-0.4536,-1.3022
411,0.1265,-0.5396,-1.0396
412,0.3298,-0.2395,-0.9290
413,-0.0757,0.4272,-0.9836
414,-0.1946,0.0283,-1.0425
415,0.1443,-0.2219,-1.0022
416,0.3149,-0.2778,-1.0747
417,-0.0437,0.2791,-0.9829
418,-0.0762,0.0691,-1.0825
419,0.0210,-0.3921,-0.9155
420,0.2419,-0.5481,-1.1379
421,0.0588,0.3394,-1.1389
422,-0.1233,-0.0303,-1.1411
423,0.3015,-0.1152,-1.0159
424,0.2041,-0.4143,-1.0081
425,0.1189,0.1208,-0.9895
426,-0.0234,-0.0129,-1.0471
427,0.0698,0.0022,-1.0852
428,0.1545,-0.3586,-1.0159
429,0.1030,0.0547,-1.0620
430,-0.0508,0.4800,-0.8342
431,0.0361,-0.5454,-1.0288
432,0.1523,-0.3000,-0.8137
433,-0.0339,-0.1731,-1.0823
434,-0.0186,0.6101,-1.1411
435,-0.0085,-0.1824,-0.9094
436,0.3733,-0.3796,-0.9243
437,0.2117,-0.3567,-0.8821
438,-0.0249,0.1758,-1.1047
439,-0.0361,0.1135,-1.0920
440,0.1499,-0.2280,-1.0571
441,0.2566,-0.1741,-1.0608
442,0.0671,0.0137,-0.9768
443,0.0071,0.2944,-0.9456
444,0.1375,-0.3997,-1.0627
445,0.1621,-0.1226,-0.9575
446,-0.0671,0.0486,-0.9575
447,0.0967,0.5581,-0.8792
448,0.1174,-0.7258,-1.1165
449,0.1016,-0.4653,-0.9292
450,0.0752,0.2673,-0.9976
451,-0.1292,0.3933,-1.1812
