Sample,X,Y,Z
821,0.0603,-0.0425,-1.0532
822,0.1011,-0.1296,-1.0552
823,0.1167,-0.1494,-1.0142
824,0.0820,-0.0991,-1.0210
825,0.0569,-0.0317,-1.0454
826,0.0784,-0.0608,-1.0481
827,0.1248,-0.1326,-1.0276
828,0.0981,-0.1387,-1.0032
829,0.0444,-0.0500,-1.0247
830,0.0591,-0.0330,-1.0569
831,0.0999,-0.1304,-1.0481
832,0.1157,-0.1670,-1.0161
833,0.0820,-0.0979,-1.0269
834,0.0500,-0.0254,-1.0520
835,0.0793,-0.0757,-1.0532
836,0.1169,-0.1526,-1.0227
837,0.0916,-0.1257,-0.9946
838,0.0457,-0.0510,-1.0256
839,0.0537,-0.0464,-1.0542
840,0.1001,-0.1194,-1.0403
841,0.1257,-0.1633,-1.0142
842,0.0801,-0.0901,-1.0269
843,0.0559,-0.0176,-1.0598
844,0.0825,-0.0803,-1.0471
845,0.1262,-0.1506,-1.0227
846,0.0928,-0.1260,-1.0022
847,0.0510,-0.0386,-1.0227
848,0.0601,-0.0498,-1.0562
849,0.1050,-0.1304,-1.0366
850,0.1189,-0.1467,-1.0149
851,0.0735,-0.0693,-1.0210
852,0.0493,-0.0283,-1.0540
853,0.0867,-0.0891,-1.0520
854,0.1230,-0.1458,-1.0122
855,0.0916,-0.1272,-1.0120
856,0.0479,-0.0376,-1.0259
857,0.0601,-0.0466,-1.0464
858,0.1077,-0.1353,-1.0444
859,0.1211,-0.1624,-1.0100
860,0.0664,-0.0730,-1.0190
861,0.0566,-0.0159,-1.0588
862,0.0955,-0.1042,-1.0581
863,0.1074,-0.1562,-1.0139
864,0.0881,-0.1125,-1.0061
865,0.0522,-0.0459,-1.0317
866,0.0535,-0.0583,-1.0540
867,0.1047,-0.1318,-1.0325
868,0.1216,-0.1621,-1.0142
869,0.0701,-0.0847,-1.0247
870,0.0549,-0.0095,-1.0510
871,0.0945,-0.1011,-1.0618
872,0.1116,-0.1543,-1.0159
873,0.0930,-0.0999,-1.0061
874,0.0479,-0.0210,-1.0298
875,0.0625,-0.0625,-1.0540
876,0.1074,-0.1372,-1.0327
877,0.1001,-0.1426,-1.0061
878,0.0640,-0.0793,-1.0269
879,0.0503,-0.0229,-1.0571
880,0.0906,-0.1074,-1.0520
881,0.1235,-0.1567,-1.0190
882,0.0981,-0.1067,-1.0081
883,0.0471,-0.0286,-1.0364
884,0.0723,-0.0444,-1.0491
885,0.1140,-0.1475,-1.0334
886,0.0996,-0.1609,-1.0051
887,0.0593,-0.0510,-1.0198
888,0.0623,-0.0303,-1.0579
889,0.0867,-0.1174,-1.0520
890,0.1267,-0.1389,-1.0081
891,0.0986,-0.1040,-1.0229
892,0.0491,-0.0271,-1.0344
893,0.0691,-0.0542,-1.0503
894,0.1077,-0.1448,-1.0247
895,0.1057,-0.1514,-1.0073
896,0.0605,-0.0486,-1.0249
897,0.0525,-0.0271,-1.0581
898,0.0938,-0.1321,-1.0513
899,0.1245,-0.1514,-1.0132
900,0.0811,-0.1069,-1.0171
901,0.0505,-0.0225,-1.0374
902,0.0850,-0.0637,-1.0540
903,0.1118,-0.1543,-1.0269
904,0.1011,-0.1470,-1.0081
905,0.0623,-0.0566,-1.0276
906,0.0486,-0.0403,-1.0627
907,0.1018,-0.1191,-1.0562
908,0.1345,-0.1443,-1.0168
909,0.0801,-0.1140,-1.0208
910,0.0527,-0.0190,-1.0344
911,0.0808,-0.0623,-1.0474
912,0.1106,-0.1582,-1.0249
913,0.0999,-0.1404,-1.0073
914,0.0537,-0.0530,-1.0198
915,0.0576,-0.0334,-1.0542
916,0.1050,-0.1431,-1.0474
917,0.1223,-0.1528,-1.0181
918,0.0818,-0.0840,-1.0269
919,0.0544,-0.0425,-1.0500
920,0.0818,-0.0691,-1.0569
921,0.1096,-0.1440,-1.0229
922,0.0972,-0.1355,-1.0024
923,0.0605,-0.0505,-1.0188
924,0.0542,-0.0364,-1.0530
925,0.1025,-0.1309,-1.0481
926,0.1238,-0.1631,-1.0149
927,0.0752,-0.0845,-1.0269
928,0.0535,-0.0249,-1.0474
929,0.0940,-0.0872,-1.0588
930,0.1196,-0.1470,-1.0200
931,0.0938,-0.1233,-1.0032
932,0.0591,-0.0447,-1.0259
933,0.0540,-0.0415,-1.0542
934,0.1001,-0.1372,-1.0364
935,0.1318,-0.1638,-1.0188
936,0.0808,-0.0889,-1.0256
937,0.0435,-0.0222,-1.0493
938,0.0962,-0.0906,-1.0588
939,0.1316,-0.1521,-1.0286
940,0.0886,-0.1248,-1.0071
941,0.0449,-0.0364,-1.0227
942,0.0569,-0.0347,-1.0471
943,0.0979,-0.1497,-1.0396
944,0.1160,-0.1543,-1.0051
945,0.0730,-0.0825,-1.0247
946,0.0559,-0.0359,-1.0579
947,0.0925,-0.0981,-1.0591
948,0.1277,-0.1448,-1.0139
949,0.0933,-0.1265,-1.0122
950,0.0532,-0.0376,-1.0266
951,0.0603,-0.0354,-1.0483
952,0.1094,-0.1543,-1.0366
953,0.1140,-0.1558,-1.0112
954,0.0615,-0.0642,-1.0220
955,0.0520,-0.0227,-1.0530
956,0.1025,-0.1145,-1.0540
957,0.1177,-0.1514,-1.0190
958,0.0867,-0.1123,-1.0149
959,0.0549,-0.0310,-1.0298
960,0.0664,-0.0508,-1.0454
961,0.0999,-0.1504,-1.0317
962,0.1121,-0.1531,-1.0042
963,0.0647,-0.0615,-1.0198
964,0.0525,-0.0374,-1.0571
965,0.0923,-0.1221,-1.0552
966,0.1172,-0.1416,-1.0161
967,0.0859,-0.1187,-1.0083
968,0.0601,-0.0347,-1.0327
969,0.0676,-0.0466,-1.0500
970,0.1104,-0.1448,-1.0325
971,0.1121,-0.1621,-1.0071
972,0.0637,-0.0562,-1.0190
973,0.0510,-0.0308,-1.0503
974,0.0918,-0.1211,-1.0569
975,0.1272,-0.1575,-1.0159
976,0.0825,-0.1011,-1.0063
977,0.0596,-0.0227,-1.0413
978,0.0815,-0.0718,-1.0503
979,0.1072,-0.1418,-1.0247
980,0.0981,-0.1479,-1.0073
981,0.0674,-0.0574,-1.0208
982,0.0605,-0.0354,-1.0588
983,0.0989,-0.1250,-1.0562
984,0.1238,-0.1506,-1.0120
985,0.0852,-0.0962,-1.0132
986,0.0640,-0.0237,-1.0483
987,0.0835,-0.0715,-1.0520
988,0.1118,-0.1482,-1.0278
989,0.1042,-0.1406,-1.0032
990,0.0603,-0.0576,-1.0168
991,0.0476,-0.0330,-1.0540
992,0.0920,-0.1296,-1.0500
993,0.1299,-0.1606,-1.0239
994,0.0903,-0.0911,-1.0229
995,0.0442,-0.0225,-1.0481
996,0.0940,-0.0632,-1.0549
997,0.1248,-0.1565,-1.0344
998,0.0886,-0.1377,-1.0042
999,0.0552,-0.0378,-1.0200
Rate 800, overflows 0
