Sample,X,Y,Z
320,-0.1255,-0.1086,-0.8938
321,0.0732,0.0762,-0.9211
322,0.0872,-0.2251,-1.0317
323,-0.0786,-0.0198,-1.0422
324,0.0938,-0.1055,-1.1106
325,0.1719,-0.2451,-1.2456
326,0.0854,-0.3472,-1.1587
327,0.1680,0.0627,-0.9312
328,0.2197,-0.0408,-1.0015
329,0.1753,-0.4751,-1.1274
330,0.0464,-0.1624,-1.0894
331,0.1262,0.0620,-0.8655
332,0.2222,0.7009,-0.8667
333,0.1360,-0.8127,-1.1536
334,0.0237,0.0381,-0.8323
335,-0.0293,-0.0342,-1.0295
336,0.0095,0.2192,-1.0203
337,0.0532,-0.5903,-1.1548
338,0.1379,-0.1675,-0.9575
339,-0.0166,0.1655,-0.9797
340,0.0942,0.0718,-1.1741
341,0.1360,-0.3928,-1.1506
342,0.1760,-0.1226,-1.0220
343,0.2358,-0.0339,-1.0171
344,0.1863,0.3374,-1.0510
345,-0.0066,-0.2275,-1.1382
346,0.0759,-0.5120,-0.8557
347,-0.0181,-0.0791,-0.7854
348,-0.0085,0.3530,-0.9875
349,0.0298,-0.2468,-1.0823
350,0.1255,-0.6401,-1.0522
351,0.0208,0.0715,-0.8833
352,-0.1011,0.4448,-0.9436
353,0.1218,-0.3582,-1.1812
354,0.2781,-0.5081,-1.1399
355,0.1782,-0.0715,-1.0874
356,-0.0352,0.3337,-0.8267
357,0.1289,0.0237,-1.1995
358,0.2000,-0.3596,-1.2112
359,0.0698,0.0833,-0.8833
360,0.0566,0.1721,-0.9192
361,0.0359,0.2249,-0.9827
362,0.0706,-0.3716,-1.1499
363,0.0862,-0.1924,-1.0588
364,0.0229,-0.0125,-0.8843
365,0.0996,-0.2263,-1.0171
366,0.1191,-0.0139,-0.9907
367,0.0266,-0.4104,-1.1272
368,0.1257,-0.2195,-0.9524
369,0.1543,0.2502,-0.9702
370,0.0955,-0.1016,-1.0767
371,0.0869,-0.4583,-1.1692
372,0.0894,0.3987,-1.0366
373,0.0288,0.0540,-0.9729
374,0.1631,0.0430,-0.9497
375,0.1443,-0.3506,-1.0667
376,0.1111,-0.0032,-0.9817
377,0.0151,-0.1760,-1.1018
378,0.0742,0.0833,-0.9924
379,0.0508,-0.2407,-0.9409
380,0.1323,-0.0432,-1.0386
381,0.0081,-0.2991,-1.0315
382,0.0178,-0.1106,-0.8345
383,0.1858,0.1145,-1.1460
384,-0.0051,0.0837,-1.0063
385,0.0571,-0.1111,-1.0854
386,0.3110,-0.1064,-0.8989
387,0.0974,0.0317,-1.1096
388,-0.0608,-0.0459,-0.9673
389,0.1089,-0.3030,-1.1819
390,0.1289,-0.0320,-1.1167
391,0.0408,-0.2251,-1.0659
392,0.0718,0.0442,-1.0005
393,0.0605,-0.1733,-1.0728
394,0.0850,-0.0166,-0.9651
395,0.1687,-0.2981,-0.9934
396,0.0610,0.1169,-0.9097
397,0.0176,0.1304,-1.0686
398,0.1311,-0.3105,-1.1294
399,0.0852,-0.3469,-0.8625
400,0.1055,0.7192,-0.7756
401,0.1626,-0.3062,-1.3394
402,0.0107,-0.3433,-1.0356
403,0.1321,-0.1528,-0.8706
404,0.1277,0.3530,-1.0667
405,-0.1741,-0.1812,-1.2729
406,0.0972,-0.2981,-1.0833
407,0.3301,-0.2505,-0.9575
408,0.1096,-0.1028,-1.0535
409,-0.1396,-0.0410,-1.0364
410,0.0898,-0.0549,-1.0266
411,0.2419,-0.3674,-1.0481
412,0.2302,0.1216,-0.9514
413,-0.0396,0.2009,-1.0493
414,-0.2056,-0.1418,-0.7991
415,0.1333,-0.2114,-1.0508
416,0.1448,-0.1147,-1.1489
417,-0.0352,0.1306,-1.1499
418,-0.0308,-0.2793,-1.0728
419,0.2078,-0.2629,-1.0120
420,0.1848,-0.2456,-1.0835
421,0.0720,0.0408,-1.0979
422,0.0054,-0.2454,-1.0461
423,0.2822,-0.4243,-1.2124
424,0.1873,0.1650,-0.9846
425,-0.0396,0.4309,-0.9749
426,-0.1436,-0.2664,-0.9006
427,0.0010,-0.3655,-0.8313
428,0.0898,0.1538,-1.0208
429,-0.0264,0.1968,-1.2385
430,0.0005,-0.2815,-1.2551
431,0.1099,-0.3286,-0.9312
432,0.1953,0.2820,-0.8970
433,0.1526,-0.2551,-1.0493
434,0.1365,-0.3271,-1.1907
435,0.1111,-0.5081,-1.1018
436,0.0923,0.2729,-0.8235
437,0.0681,0.5229,-1.0012
438,0.0889,-0.2642,-1.2505
439,-0.0186,-0.6672,-0.9358
440,0.1213,-0.0054,-0.8745
441,-0.0627,0.5496,-0.9292
442,0.0195,-0.3579,-1.2642
443,0.1519,-0.3376,-1.1509
444,0.1472,0.0237,-1.0337
445,0.0537,-0.0457,-0.8889
446,0.1250,-0.2983,-1.0151
447,0.1235,-0.1609,-1.1321
448,0.0513,0.1326,-1.1304
449,0.1289,0.1882,-1.0493
450,0.2524,-0.0129,-1.0835
451,0.2114,-0.0076,-0.9897
452,-0.0044,-0.0515,-0.7629
453,0.1465,-0.1455,-0.9399
454,0.0515,-0.5325,-1.1233
455,-0.0315,-0.3740,-1.0579
456,-0.0764,-0.3411,-0.8782
457,-0.0828,-0.6770,-0.7356
458,0.0127,-0.9612,-0.9250
459,0.0825,-1.1050,-1.1187
460,0.1687,-1.1184,-1.1370
461,0.2788,-0.7212,-0.9829
462,0.1584,-1.0452,-0.9856
463,0.0493,-1.3784,-1.1743
464,0.1711,-1.0559,-1.0247
465,0.0728,-0.5933,-0.9478
466,0.0950,-0.7991,-1.1614
467,0.1453,-0.6946,-1.0969
468,0.0481,-0.7737,-1.1770
469,0.1060,-0.1643,-1.0540
470,0.1155,-0.3208,-1.1040
471,0.0833,-0.4771,-1.0005
472,0.1367,-0.5405,-1.1753
473,0.1016,-0.0244,-1.0715
474,-0.0359,0.0315,-0.8899
475,0.1277,-0.5969,-0.9709
476,0.1021,-0.5481,-0.8743
477,-0.1079,-0.1460,-0.9270
478,-0.1116,-0.2571,-0.9192
479,0.1609,-1.0405,-0.9526
480,0.0691,-0.7092,-0.9104
481,-0.1040,-0.4106,-0.8892
482,0.1602,-0.7671,-1.0259
483,0.2991,-1.1545,-1.0178
484,0.0691,-1.2004,-1.1135
485,0.0249,-0.4897,-1.0610
486,0.0356,-0.5337,-1.0229
487,0.0471,-1.1409,-0.9231
488,0.3354,-1.1948,-1.2378
489,0.2114,-0.4272,-1.1724
490,-0.1199,-0.2512,-0.9934
491,0.1191,-0.6733,-0.9165
492,0.3396,-1.0168,-1.0969
493,-0.0571,-0.2844,-1.3303
494,-0.3804,0.2124,-1.0100
495,0.2361,-0.2771,-0.8176
496,0.7332,-1.0706,-0.9778
497,0.1736,-0.6038,-1.0042
498,-0.4534,0.2292,-0.9868
499,-0.0310,0.0745,-0.8625
500,0.3474,-1.4661,-1.0149
501,0.0876,-0.7222,-0.9819
502,-0.3489,0.2764,-1.0757
503,-0.0725,0.3110,-1.1311
504,0.3477,-0.2134,-1.0942
505,0.2622,-0.0781,-1.0415
506,-0.0330,0.2937,-0.9937
507,0.0383,0.0325,-0.9651
508,0.1985,-0.1392,-0.9067
509,0.1265,-0.0457,-0.9897
510,0.0513,-0.1641,-1.1362
511,-0.0222,-0.2749,-1.0872
512,0.0803,-0.1060,-1.0513
513,0.1150,-0.2651,-1.0044
514,0.0754,-0.3972,-1.0667
515,0.0708,-0.2104,-1.0845
516,0.0312,0.0354,-1.0061
517,0.0747,0.0042,-1.0549
518,0.1494,0.0205,-0.9888
519,0.1443,-0.0374,-1.0139
520,0.0974,0.0146,-1.0120
521,0.0579,-0.0432,-1.0208
522,0.0649,-0.0874,-1.0054
523,0.0652,-0.1504,-1.0002
524,0.0420,-0.2839,-1.0276
525,0.0461,-0.1506,-1.0776
526,0.0769,-0.0920,-1.0950
527,0.0833,-0.1067,-1.0032
528,0.1106,-0.0183,-0.9836
529,0.1321,-0.0039,-1.0374
530,0.0667,-0.0015,-1.0227
531,0.0898,0.0083,-1.0122
532,0.1194,-0.0437,-0.9995
533,0.0752,-0.0706,-1.0122
534,0.0229,-0.0383,-1.0354
535,0.0498,-0.1086,-1.0618
536,0.1221,-0.2695,-1.0649
