Sample,X,Y,Z
287,0.0774,0.1714,-0.7610
288,0.1199,0.1262,-1.0256
289,0.2261,-0.1890,-1.1831
290,0.2104,-0.4783,-1.2349
291,-0.0835,0.1257,-0.9526
292,-0.0769,0.2329,-0.9006
293,0.3103,0.0452,-1.0100
294,0.6326,-0.5120,-1.3040
295,-0.0339,-0.6086,-1.0286
296,-0.5471,0.3601,-0.7319
297,-0.1902,0.4409,-0.9661
298,0.2737,-0.2788,-1.0669
299,0.4958,-0.4973,-1.2434
300,0.1450,-0.2473,-0.9038
301,-0.3684,0.4148,-0.8188
302,0.0972,0.3865,-1.0396
303,0.2686,-0.6096,-1.0540
304,0.2090,-0.4583,-1.1858
305,-0.0212,-0.1204,-1.0061
306,-0.1738,0.3960,-1.0364
307,0.2190,0.0630,-1.0618
308,0.4763,-0.6819,-1.0686
309,0.0315,-0.5972,-1.1411
310,-0.4727,0.8579,-0.7864
311,-0.0781,0.1963,-1.1421
312,0.3206,-0.5178,-1.1028
313,0.5454,-0.5229,-1.1548
314,0.0623,-0.2449,-0.8909
315,-0.3599,0.5044,-0.8938
316,0.1394,0.1772,-1.0208
317,0.2202,-0.5464,-1.2329
318,0.0923,-0.2925,-1.1792
319,0.0483,-0.0762,-0.8411
320,-0.1663,0.1606,-0.9263
321,0.0530,0.0237,-1.0432
322,0.1072,-0.4255,-1.2834
323,0.2788,-0.0591,-1.2427
324,0.5320,-0.0625,-0.9739
325,0.0898,-0.2993,-0.9624
326,-0.3892,0.1753,-0.9026
327,-0.0654,0.0615,-1.2183
328,0.2803,-0.4507,-1.1733
329,0.5261,-0.0325,-0.8303
330,0.2703,-0.0950,-0.8362
331,-0.1543,0.1218,-0.9985
332,-0.0432,0.0508,-1.2502
333,0.1943,-0.4270,-1.1174
334,0.0923,-0.1448,-0.9182
335,0.0664,-0.1536,-0.8716
336,-0.1880,0.0327,-1.0432
337,0.1208,0.0503,-1.2170
338,0.6245,-0.2476,-1.1558
339,0.1416,-0.5513,-1.0972
340,-0.2542,0.5288,-0.7502
341,-0.0530,-0.0032,-1.0464
342,0.3174,-0.3696,-1.2515
343,0.3818,-0.3518,-1.2073
344,0.1819,-0.0723,-0.8140
345,-0.3374,0.1501,-0.7209
346,0.2170,0.2937,-0.9976
347,0.1404,-0.7258,-1.2522
348,-0.2139,-0.1638,-1.1272
349,-0.2371,0.0596,-0.8069
350,-0.1516,0.1909,-0.8606
351,0.1904,-0.1768,-1.1262
352,0.3679,-0.4700,-1.1565
353,0.1597,-0.2178,-0.9614
354,-0.0884,0.0200,-1.0667
355,-0.0991,0.5776,-0.8850
356,0.2976,-0.4167,-1.3167
357,0.4868,-0.4253,-1.2056
358,0.4109,-0.3108,-0.9778
359,-0.0781,0.3347,-0.8042
360,-0.1833,0.2861,-0.9839
361,0.1743,-0.3833,-1.1040
362,0.0908,-0.4661,-1.1565
363,-0.1177,-0.0779,-0.9419
364,-0.2004,0.1350,-0.8228
365,-0.0007,-0.0872,-1.0393
366,0.1475,-0.2244,-1.1782
367,0.0186,-0.2427,-1.0835
368,-0.0747,0.2603,-1.0071
369,-0.0088,0.0588,-0.9526
370,0.3359,-0.0879,-1.0698
371,0.5105,-0.6545,-1.1418
372,0.0808,-0.2896,-1.0317
373,-0.3372,0.5359,-0.8511
374,0.1003,0.1382,-1.1213
375,0.3787,-0.4446,-1.3323
376,0.4312,-0.4097,-1.0874
377,-0.0249,-0.0645,-0.7444
378,-0.1838,0.3445,-0.8999
379,0.1047,-0.0046,-1.0051
380,0.0596,-0.5229,-1.2290
381,0.0339,-0.1775,-1.0647
382,-0.1028,0.1494,-0.7903
383,0.0303,0.1367,-1.0562
384,0.1770,-0.2610,-1.1360
385,0.1738,-0.3394,-1.2104
386,-0.0918,0.0137,-1.0667
387,-0.0139,0.3875,-1.0210
388,0.3171,-0.1750,-1.0793
389,0.7017,-0.2905,-1.0923
390,0.2378,-0.7395,-1.0774
391,-0.4351,0.3423,-0.7981
392,-0.2537,0.5591,-0.9719
393,0.2825,-0.3469,-1.0950
394,0.4929,-0.4280,-1.1145
395,0.2556,-0.2561,-0.8420
396,-0.3782,0.3318,-0.8647
397,-0.0059,0.3442,-1.1350
398,0.3059,-0.5725,-1.1086
399,0.2703,-0.4387,-1.1282
400,-0.0847,-0.1099,-0.8794
401,-0.3638,0.3325,-0.9016
402,0.0530,-0.0095,-1.2473
403,0.4290,-0.3450,-1.1682
404,0.5210,-0.3501,-1.0796
405,-0.0750,-0.2146,-0.9807
406,-0.3445,0.5190,-0.8391
407,0.0398,-0.1233,-1.3225
408,0.2847,-0.3491,-1.2427
409,0.4744,-0.3752,-0.9485
410,0.0776,0.1135,-0.6323
411,-0.1641,0.3127,-1.0295
412,0.0859,-0.0161,-1.2231
413,0.2136,-0.4065,-1.1995
414,0.1985,-0.2659,-0.8967
415,0.0059,0.0803,-0.8188
416,-0.1809,0.0173,-1.0151
417,-0.0840,-0.1521,-1.1887
418,0.1011,-0.2114,-1.1313
419,0.2056,0.0120,-1.0806
420,0.3354,0.0559,-0.9546
421,0.1187,-0.5562,-1.1362
422,-0.2222,0.1616,-1.0491
423,0.0181,0.0889,-1.1519
424,0.2937,-0.2112,-1.1663
425,0.4907,-0.0430,-0.9937
426,0.2715,-0.2898,-0.8782
427,-0.1228,0.2024,-0.9749
428,0.0227,0.1238,-1.1108
429,0.1018,-0.3452,-1.0786
430,0.0496,-0.1597,-1.0894
431,0.0134,-0.1470,-0.8706
432,-0.1304,-0.0137,-0.9915
433,0.1995,0.0337,-1.1116
434,0.2227,-0.4595,-1.1177
435,-0.1377,-0.1133,-1.1624
436,-0.2151,0.4578,-0.8921
437,0.0486,-0.1665,-1.0776
438,0.3826,-0.3601,-1.1692
439,0.2776,-0.2561,-1.0696
440,-0.0420,-0.0764,-0.9065
441,-0.0400,0.3330,-1.0161
442,0.2671,-0.0491,-1.1079
443,0.1746,-0.4309,-1.1975
444,0.0044,-0.1145,-0.9661
445,-0.1770,-0.0735,-0.8042
446,0.0740,0.2454,-1.0208
447,0.2437,-0.2874,-1.1780
448,0.3901,-0.1294,-1.1196
449,0.1904,-0.1582,-0.9214
450,-0.2075,0.0488,-0.9495
451,-0.1670,0.2839,-1.0015
452,0.2761,-0.3406,-1.1965
453,0.4099,-0.4775,-1.1663
454,0.1250,-0.0667,-0.8782
455,-0.1125,0.3020,-0.8958
456,-0.0605,-0.0312,-1.1313
457,0.2751,-0.2219,-1.1604
458,0.2073,-0.4565,-1.0054
459,0.0408,-0.0154,-0.8433
460,-0.0947,0.0159,-0.9565
461,-0.1157,0.0283,-1.1194
462,0.1990,-0.1040,-1.1711
463,0.4138,-0.1790,-1.0081
464,0.2117,-0.0952,-0.9077
465,-0.2200,-0.1548,-0.9478
466,-0.2800,0.1362,-0.9937
467,0.2368,-0.0320,-1.1479
468,0.5308,-0.3765,-1.0972
469,0.4683,-0.1060,-0.9419
470,0.2351,0.0759,-0.9182
471,0.2214,0.0444,-1.1594
472,0.5134,-0.0632,-1.1848
473,0.5308,-0.3647,-1.0308
474,0.5586,-0.1489,-0.9194
475,0.3445,0.0708,-0.8459
476,0.3315,-0.0095,-1.0747
477,0.5962,0.0256,-1.1157
478,0.6206,-0.1831,-1.0024
479,0.7468,-0.1877,-1.0325
480,0.7517,-0.0264,-0.9417
481,0.4099,-0.4778,-1.0471
482,0.2266,0.0862,-1.0396
483,0.4871,0.2017,-0.9553
484,0.9500,-0.2297,-1.1272
485,0.9011,-0.2000,-1.0432
486,0.6870,-0.0420,-0.9087
487,0.5574,0.0374,-0.9270
488,0.6196,-0.0830,-1.0249
489,0.6013,-0.3723,-1.1038
490,0.5828,-0.2546,-1.1350
491,0.5503,0.0217,-0.9722
492,0.5093,-0.0508,-1.0142
493,0.5789,0.0505,-1.0754
494,0.7380,-0.1155,-1.0354
495,0.5232,-0.1545,-1.0012
496,0.4126,0.1365,-0.8950
497,0.6550,-0.1311,-1.1194
498,0.6052,-0.1641,-1.0618
499,0.4509,-0.1318,-0.9631
500,0.5815,0.0090,-0.9214
501,0.8003,-0.1929,-1.0923
502,0.7673,0.1157,-1.1311
503,0.5222,-0.1985,-1.0627
504,0.6453,-0.1160,-1.0120
505,0.7302,-0.0718,-0.9348
506,0.4653,-0.0869,-0.9360
507,0.6121,-0.3118,-1.2083
508,0.5864,-0.1287,-1.0640
509,0.4575,0.2285,-0.9614
510,0.6196,-0.2231,-0.9937
511,0.6479,-0.3706,-1.0522
512,0.5864,-0.0554,-1.1138
513,0.4712,0.3806,-1.0132
514,0.4832,-0.1904,-1.0149
515,0.5078,-0.3784,-0.9438
516,0.5542,-0.2700,-1.0210
517,0.3904,0.1450,-1.1292
518,0.2400,0.0107,-1.0403
519,0.5154,-0.1868,-1.0315
520,0.6060,-0.2271,-0.9800
521,0.2019,-0.0566,-0.9924
522,-0.0242,0.0903,-1.0073
523,0.2407,-0.1284,-1.0874
524,0.2639,-0.1938,-1.1196
525,0.0125,0.0286,-1.0151
526,0.0447,0.0215,-1.0005
527,0.1870,-0.1208,-0.9321
528,0.0681,-0.1245,-0.9712
529,-0.0435,-0.0725,-1.1594
530,-0.0029,0.0085,-1.1692
531,0.1277,-0.0662,-0.9758
532,0.2617,-0.2017,-0.8979
533,0.1909,-0.2139,-1.0298
534,0.0007,-0.0010,-1.1089
535,0.0227,0.1162,-1.0706
536,0.1570,-0.1672,-1.0208
537,0.1130,-0.1255,-0.9868
538,0.0264,-0.1616,-1.0315
539,0.0850,-0.0613,-1.0649
540,0.1111,-0.1272,-1.0286
541,0.0732,-0.0842,-1.0354
542,0.0898,-0.0090,-1.0754
543,0.0715,-0.1514,-1.0435
544,0.0818,-0.1770,-0.9944
545,0.1167,-0.1023,-1.0171
546,0.0935,-0.0762,-1.0530
547,0.0569,-0.0081,-1.0481
548,0.0750,-0.0339,-1.0413
549,0.0842,-0.0964,-1.0122
550,0.0923,-0.1157,-0.9927
551,0.1104,-0.1096,-1.0461
552,0.0715,-0.0859,-1.0513
553,0.0439,-0.0486,-1.0239
554,0.0808,-0.0596,-1.0259
555,0.1021,-0.1167,-1.0308
556,0.0881,-0.1230,-1.0325
557,0.0801,-0.0691,-1.0347
558,0.0752,-0.0864,-1.0334
559,0.0762,-0.0774,-1.0217
560,0.0732,-0.0811,-1.0305
561,0.0906,-0.1077,-1.0405
562,0.0964,-0.0972,-1.0198
563,0.0789,-0.0872,-1.0256
564,0.0762,-0.0884,-1.0481
565,0.0818,-0.1035,-1.0435
566,0.0667,-0.1082,-1.0122
567,0.0747,-0.0645,-1.0161
568,0.0850,-0.0796,-1.0366
569,0.0823,-0.0986,-1.0540
570,0.0859,-0.0708,-1.0500
571,0.0840,-0.0857,-1.0081
572,0.0667,-0.0916,-1.0110
573,0.0784,-0.0950,-1.0364
574,0.0959,-0.1145,-1.0588
575,0.0845,-0.1079,-1.0435
576,0.0774,-0.0645,-1.0217
577,0.0735,-0.0837,-1.0227
578,0.0813,-0.1160,-1.0315
579,0.0947,-0.1299,-1.0415
580,0.0994,-0.0942,-1.0374
581,0.0808,-0.0740,-1.0276
582,0.0691,-0.0769,-1.0239
583,0.0867,-0.1057,-1.0337
584,0.0894,-0.1394,-1.0415
585,0.0774,-0.1008,-1.0295
586,0.0774,-0.0671,-1.0237
587,0.0803,-0.0981,-1.0288
588,0.0872,-0.0935,-1.0403
589,0.0872,-0.1101,-1.0347
590,0.0823,-0.0894,-1.0210
591,0.0769,-0.0779,-1.0168
592,0.0786,-0.0901,-1.0337
593,0.0835,-0.1040,-1.0425
594,0.0881,-0.0964,-1.0288
595,0.0811,-0.0845,-1.0142
596,0.0708,-0.0830,-1.0190
597,0.0813,-0.1118,-1.0435
598,0.0903,-0.1174,-1.0442
599,0.0881,-0.1003,-1.0298
600,0.0791,-0.0894,-1.0171
601,0.0774,-0.0957,-1.0276
602,0.0808,-0.1096,-1.0464
603,0.0808,-0.1096,-1.0461
604,0.0786,-0.0999,-1.0278
605,0.0732,-0.0837,-1.0217
606,0.0793,-0.1023,-1.0337
607,0.0916,-0.1135,-1.0393
608,0.0823,-0.1091,-1.0356
609,0.0784,-0.0872,-1.0269
610,0.0767,-0.0854,-1.0259
611,0.0769,-0.0950,-1.0298
612,0.0884,-0.1074,-1.0337
613,0.0852,-0.1052,-1.0295
614,0.0706,-0.0815,-1.0249
615,0.0708,-0.0789,-1.0288
616,0.0842,-0.1072,-1.0327
617,0.0830,-0.1008,-1.0325
618,0.0825,-0.0972,-1.0288
619,0.0774,-0.0969,-1.0247
620,0.0686,-0.0828,-1.0247
621,0.0789,-0.0930,-1.0334
622,0.0823,-0.1060,-1.0432
623,0.0820,-0.1045,-1.0276
624,0.0784,-0.0918,-1.0210
625,0.0779,-0.1038,-1.0227
626,0.0762,-0.0938,-1.0386
627,0.0818,-0.0950,-1.0386
628,0.0796,-0.1023,-1.0288
629,0.0803,-0.0859,-1.0208
630,0.0784,-0.0967,-1.0317
631,0.0818,-0.1003,-1.0374
632,0.0833,-0.0991,-1.0354
